Speed: 0.286489, angle1: 0.217900, angle2: -0.200623, v1: 0.948336, v2: -2.875315, M1: -0.866375, M2: -0.235885
Speed: 0.282098, angle1: 0.217900, angle2: -0.227155, v1: 0.808771, v2: -2.653194, M1: -1.050108, M2: -0.104397
Speed: 0.275911, angle1: 0.217900, angle2: -0.248015, v1: 0.600333, v2: -2.085988, M1: -1.240212, M2: -0.046224
Speed: 0.271175, angle1: 0.217900, angle2: -0.269093, v1: 0.467464, v2: -2.107812, M1: -1.412814, M2: -0.226676
Speed: 0.267525, angle1: 0.217900, angle2: -0.293874, v1: 0.373701, v2: -2.478033, M1: -1.573312, M2: -0.343513
Speed: 0.260696, angle1: 0.217900, angle2: -0.315148, v1: 0.144580, v2: -2.127489, M1: -1.874751, M2: -0.205333
Speed: 0.253009, angle1: 0.216729, angle2: -0.331622, v1: -0.117062, v2: -1.647363, M1: -2.082548, M2: -0.209364
Speed: 0.247339, angle1: 0.213544, angle2: -0.348180, v1: -0.318576, v2: -1.655793, M1: -2.346860, M2: -0.389422
Speed: 0.243110, angle1: 0.208616, angle2: -0.366362, v1: -0.492795, v2: -1.818232, M1: -2.534422, M2: -0.483220
Speed: 0.237924, angle1: 0.201371, angle2: -0.381394, v1: -0.724515, v2: -1.503159, M1: -2.695868, M2: -0.415073
Speed: 0.234352, angle1: 0.192101, angle2: -0.393804, v1: -0.927001, v2: -1.241045, M1: -2.736424, M2: -0.462983
Speed: 0.232785, angle1: 0.181136, angle2: -0.404998, v1: -1.096456, v2: -1.119346, M1: -2.873195, M2: -0.549402
Speed: 0.233392, angle1: 0.168861, angle2: -0.415923, v1: -1.227454, v2: -1.092570, M1: -2.908522, M2: -0.612729
Speed: 0.235182, angle1: 0.155392, angle2: -0.425409, v1: -1.346960, v2: -0.948507, M1: -2.870770, M2: -0.606152
Speed: 0.237724, angle1: 0.140705, angle2: -0.432415, v1: -1.468652, v2: -0.700614, M1: -2.892713, M2: -0.599824
Speed: 0.241635, angle1: 0.125010, angle2: -0.437513, v1: -1.569527, v2: -0.509836, M1: -2.858598, M2: -0.621364
Speed: 0.246447, angle1: 0.108330, angle2: -0.440707, v1: -1.667972, v2: -0.319381, M1: -2.912534, M2: -0.638716
Speed: 0.253362, angle1: 0.091233, angle2: -0.444159, v1: -1.709709, v2: -0.345209, M1: -2.721427, M2: -0.678942
Speed: 0.260537, angle1: 0.073882, angle2: -0.446569, v1: -1.735075, v2: -0.241041, M1: -2.404478, M2: -0.604946
Speed: 0.266297, angle1: 0.055789, angle2: -0.444813, v1: -1.809302, v2: 0.175608, M1: -2.346166, M2: -0.499766
Speed: 0.271924, angle1: 0.036589, angle2: -0.438986, v1: -1.920083, v2: 0.582761, M1: -2.585609, M2: -0.517085
Speed: 0.280577, angle1: 0.017219, angle2: -0.434899, v1: -1.936928, v2: 0.408667, M1: -2.452862, M2: -0.654284
Speed: 0.288435, angle1: -0.002553, angle2: -0.429291, v1: -1.977245, v2: 0.560774, M1: -2.309929, M2: -0.557385
Speed: 0.296524, angle1: -0.022562, angle2: -0.422667, v1: -2.000906, v2: 0.662377, M1: -2.150841, M2: -0.541275
Speed: 0.303789, angle1: -0.042659, angle2: -0.413707, v1: -2.009725, v2: 0.896017, M1: -1.721576, M2: -0.434501
Speed: 0.309962, angle1: -0.063216, angle2: -0.400906, v1: -2.055689, v2: 1.280116, M1: -1.695501, M2: -0.366106
Speed: 0.316779, angle1: -0.083839, angle2: -0.387286, v1: -2.062280, v2: 1.362029, M1: -1.576350, M2: -0.411789
Speed: 0.323697, angle1: -0.103700, angle2: -0.375736, v1: -1.986063, v2: 1.154946, M1: -1.084419, M2: -0.411991
