Speed: 0.274480, angle1: -0.477880, angle2: 0.496946, v1: -0.616712, v2: 5.514517, M1: 2.294638, M2: 0.396450
Speed: 0.264564, angle1: -0.481781, angle2: 0.549961, v1: -0.390069, v2: 5.301503, M1: 2.486926, M2: 0.442101
Speed: 0.254976, angle1: -0.483429, angle2: 0.600742, v1: -0.164788, v2: 5.078115, M1: 2.665594, M2: 0.494455
Speed: 0.246144, angle1: -0.482899, angle2: 0.649332, v1: 0.052987, v2: 4.858989, M1: 2.830228, M2: 0.548028
Speed: 0.238070, angle1: -0.480254, angle2: 0.695526, v1: 0.264510, v2: 4.619400, M1: 2.980993, M2: 0.590460
Speed: 0.230667, angle1: -0.475541, angle2: 0.738990, v1: 0.471334, v2: 4.346370, M1: 3.117900, M2: 0.622224
Speed: 0.224033, angle1: -0.468828, angle2: 0.779584, v1: 0.671249, v2: 4.059409, M1: 3.240772, M2: 0.650802
Speed: 0.218206, angle1: -0.460196, angle2: 0.817280, v1: 0.863219, v2: 3.769598, M1: 3.349631, M2: 0.674469
Speed: 0.213000, angle1: -0.449700, angle2: 0.851919, v1: 1.049569, v2: 3.463911, M1: 3.444576, M2: 0.686546
Speed: 0.208225, angle1: -0.437381, angle2: 0.883262, v1: 1.231913, v2: 3.134294, M1: 3.525453, M2: 0.687486
Speed: 0.203857, angle1: -0.423291, angle2: 0.911166, v1: 1.408991, v2: 2.790456, M1: 3.591930, M2: 0.682415
Speed: 0.199923, angle1: -0.407500, angle2: 0.935576, v1: 1.579077, v2: 2.440943, M1: 3.643785, M2: 0.672278
Speed: 0.196378, angle1: -0.390083, angle2: 0.956398, v1: 1.741751, v2: 2.082218, M1: 3.680956, M2: 0.654446
Speed: 0.193165, angle1: -0.371116, angle2: 0.973495, v1: 1.896716, v2: 1.709664, M1: 3.703416, M2: 0.628780
Speed: 0.190321, angle1: -0.350689, angle2: 0.986761, v1: 2.042630, v2: 1.326677, M1: 3.711157, M2: 0.598185
Speed: 0.187938, angle1: -0.328911, angle2: 0.996154, v1: 2.177811, v2: 0.939205, M1: 3.704308, M2: 0.564627
Speed: 0.186093, angle1: -0.305898, angle2: 1.001639, v1: 2.301321, v2: 0.548529, M1: 3.683161, M2: 0.527861
Speed: 0.184838, angle1: -0.281769, angle2: 1.003170, v1: 2.412870, v2: 0.153114, M1: 3.648108, M2: 0.487782
Speed: 0.184245, angle1: -0.256648, angle2: 1.000709, v1: 2.512170, v2: -0.246066, M1: 3.599575, M2: 0.445835
Speed: 0.184416, angle1: -0.230659, angle2: 0.994257, v1: 2.598860, v2: -0.645255, M1: 3.538026, M2: 0.403766
Speed: 0.185441, angle1: -0.203930, angle2: 0.983842, v1: 2.672930, v2: -1.041521, M1: 3.463975, M2: 0.362230
Speed: 0.187381, angle1: -0.176581, angle2: 0.969500, v1: 2.734880, v2: -1.434155, M1: 3.377948, M2: 0.321205
Speed: 0.190280, angle1: -0.148727, angle2: 0.951274, v1: 2.785426, v2: -1.822580, M1: 3.280444, M2: 0.281090
Speed: 0.194177, angle1: -0.120475, angle2: 0.929228, v1: 2.825218, v2: -2.204641, M1: 3.171907, M2: 0.242769
Speed: 0.199100, angle1: -0.091926, angle2: 0.903452, v1: 2.854887, v2: -2.577563, M1: 3.052742, M2: 0.206809
Speed: 0.205048, angle1: -0.063174, angle2: 0.874056, v1: 2.875203, v2: -2.939633, M1: 2.923318, M2: 0.173132
Speed: 0.211991, angle1: -0.034303, angle2: 0.841155, v1: 2.887024, v2: -3.290081, M1: 2.783953, M2: 0.141531
Speed: 0.219882, angle1: -0.005393, angle2: 0.804878, v1: 2.891086, v2: -3.627710, M1: 2.634912, M2: 0.112120
Speed: 0.228655, angle1: 0.023487, angle2: 0.765373, v1: 2.887917, v2: -3.950500, M1: 2.476419, M2: 0.085098
Speed: 0.238221, angle1: 0.052266, angle2: 0.722807, v1: 2.877937, v2: -4.256628, M1: 2.308683, M2: 0.060312
Speed: 0.248462, angle1: 0.080881, angle2: 0.677355, v1: 2.861540, v2: -4.545155, M1: 2.131907, M2: 0.037322
Speed: 0.259234, angle1: 0.109271, angle2: 0.629201, v1: 2.838999, v2: -4.815368, M1: 1.946294, M2: 0.015820
Speed: 0.270379, angle1: 0.137375, angle2: 0.578542, v1: 2.810354, v2: -5.065980, M1: 1.752063, M2: -0.004299
Speed: 0.281715, angle1: 0.165129, angle2: 0.525587, v1: 2.775459, v2: -5.295500, M1: 1.549468, M2: -0.023254
Speed: 0.293039, angle1: 0.192470, angle2: 0.470556, v1: 2.734094, v2: -5.503077, M1: 1.338827, M2: -0.041519
Speed: 0.304131, angle1: 0.219330, angle2: 0.413672, v1: 2.685951, v2: -5.688347, M1: 1.120521, M2: -0.059544
Speed: 0.314762, angle1: 0.245635, angle2: 0.355166, v1: 2.630526, v2: -5.850649, M1: 0.895012, M2: -0.077553
Speed: 0.324697, angle1: 0.271306, angle2: 0.295275, v1: 2.567113, v2: -5.989036, M1: 0.662857, M2: -0.095733
Speed: 0.333696, angle1: 0.296255, angle2: 0.234245, v1: 2.494909, v2: -6.103050, M1: 0.424733, M2: -0.114426
Speed: 0.341523, angle1: 0.320386, angle2: 0.172317, v1: 2.413020, v2: -6.192794, M1: 0.181446, M2: -0.133926
Speed: 0.347952, angle1: 0.343589, angle2: 0.109735, v1: 2.320320, v2: -6.258218, M1: -0.066060, M2: -0.154248
Speed: 0.352770, angle1: 0.365743, angle2: 0.046744, v1: 2.215406, v2: -6.299048, M1: -0.316680, M2: -0.175253
Speed: 0.355779, angle1: 0.386709, angle2: -0.016410, v1: 2.096644, v2: -6.315477, M1: -0.569118, M2: -0.196805
Speed: 0.356801, angle1: 0.406330, angle2: -0.079493, v1: 1.962094, v2: -6.308247, M1: -0.821868, M2: -0.218589
Speed: 0.355673, angle1: 0.424423, angle2: -0.142273, v1: 1.809286, v2: -6.278063, M1: -1.073181, M2: -0.239887
Speed: 0.352256, angle1: 0.440780, angle2: -0.204464, v1: 1.635654, v2: -6.219016, M1: -1.321014, M2: -0.259645
Speed: 0.346527, angle1: 0.455195, angle2: -0.265654, v1: 1.441582, v2: -6.119038, M1: -1.563020, M2: -0.279827
Speed: 0.338745, angle1: 0.467525, angle2: -0.325597, v1: 1.232914, v2: -5.994303, M1: -1.796847, M2: -0.308548
Speed: 0.329363, angle1: 0.477678, angle2: -0.384173, v1: 1.015354, v2: -5.857617, M1: -2.020679, M2: -0.345997
Speed: 0.318834, angle1: 0.485585, angle2: -0.441140, v1: 0.790635, v2: -5.696657, M1: -2.233232, M2: -0.386175
Speed: 0.307670, angle1: 0.491191, angle2: -0.496178, v1: 0.560639, v2: -5.503842, M1: -2.433352, M2: -0.429501
Speed: 0.296537, angle1: 0.494489, angle2: -0.549117, v1: 0.329791, v2: -5.293893, M1: -2.620032, M2: -0.480491
Speed: 0.286013, angle1: 0.495544, angle2: -0.600015, v1: 0.105538, v2: -5.089787, M1: -2.792672, M2: -0.536649
Speed: 0.276234, angle1: 0.494431, angle2: -0.648748, v1: -0.111344, v2: -4.873282, M1: -2.951381, M2: -0.584387
Speed: 0.267107, angle1: 0.491198, angle2: -0.694953, v1: -0.323303, v2: -4.620537, M1: -3.096311, M2: -0.619671
Speed: 0.258718, angle1: 0.485912, angle2: -0.738420, v1: -0.528578, v2: -4.346724, M1: -3.227338, M2: -0.650868
Speed: 0.251182, angle1: 0.478661, angle2: -0.779129, v1: -0.725124, v2: -4.070810, M1: -3.344486, M2: -0.679268
