Speed: 0.086217, angle1: -0.117900, angle2: 0.164653, v1: -0.571360, v2: 1.833989, M1: 0.552954, M2: 0.111337
Speed: 0.086058, angle1: -0.117900, angle2: 0.184110, v1: -0.529096, v2: 1.945730, M1: 0.621669, M2: 0.123017
Speed: 0.084999, angle1: -0.117900, angle2: 0.201132, v1: -0.427741, v2: 1.702146, M1: 0.685919, M2: 0.041980
Speed: 0.083271, angle1: -0.117900, angle2: 0.214624, v1: -0.290338, v2: 1.349222, M1: 0.897702, M2: 0.045763
Speed: 0.082519, angle1: -0.117900, angle2: 0.229194, v1: -0.211899, v2: 1.456979, M1: 1.020602, M2: 0.184403
Speed: 0.082303, angle1: -0.117900, angle2: 0.246543, v1: -0.157470, v2: 1.734883, M1: 1.058263, M2: 0.236606
Speed: 0.080044, angle1: -0.117749, angle2: 0.259887, v1: 0.015052, v2: 1.334417, M1: 1.270691, M2: 0.096702
Speed: 0.077377, angle1: -0.115666, angle2: 0.268447, v1: 0.208381, v2: 0.856078, M1: 1.414263, M2: 0.101994
Speed: 0.076906, angle1: -0.112614, angle2: 0.278863, v1: 0.305127, v2: 1.041555, M1: 1.517540, M2: 0.297978
Speed: 0.077376, angle1: -0.108875, angle2: 0.292506, v1: 0.373924, v2: 1.364282, M1: 1.588811, M2: 0.360845
Speed: 0.075923, angle1: -0.103407, angle2: 0.301762, v1: 0.546790, v2: 0.925660, M1: 1.670647, M2: 0.193292
Speed: 0.074495, angle1: -0.096117, angle2: 0.305657, v1: 0.729033, v2: 0.389496, M1: 1.707615, M2: 0.181924
Speed: 0.075929, angle1: -0.088110, angle2: 0.311067, v1: 0.800726, v2: 0.540968, M1: 1.708143, M2: 0.372093
Speed: 0.079159, angle1: -0.080034, angle2: 0.320776, v1: 0.807573, v2: 0.970858, M1: 1.658453, M2: 0.460339
Speed: 0.080035, angle1: -0.070708, angle2: 0.325642, v1: 0.932631, v2: 0.486656, M1: 1.680713, M2: 0.245118
Speed: 0.080719, angle1: -0.059981, angle2: 0.324374, v1: 1.072699, v2: -0.126776, M1: 1.624397, M2: 0.200215
Speed: 0.084569, angle1: -0.049140, angle2: 0.325384, v1: 1.084024, v2: 0.101000, M1: 1.548796, M2: 0.408803
Speed: 0.089444, angle1: -0.038675, angle2: 0.330045, v1: 1.046527, v2: 0.466027, M1: 1.383725, M2: 0.436664
Speed: 0.091817, angle1: -0.027426, angle2: 0.329800, v1: 1.124919, v2: -0.024506, M1: 1.363878, M2: 0.216611
Speed: 0.093818, angle1: -0.015210, angle2: 0.323840, v1: 1.221557, v2: -0.595941, M1: 1.305154, M2: 0.171884
Speed: 0.098092, angle1: -0.003059, angle2: 0.319304, v1: 1.215093, v2: -0.453677, M1: 1.221198, M2: 0.337962
Speed: 0.103397, angle1: 0.008338, angle2: 0.319227, v1: 1.139700, v2: -0.007643, M1: 1.019989, M2: 0.395558
Speed: 0.105959, angle1: 0.020267, angle2: 0.314325, v1: 1.192978, v2: -0.490215, M1: 0.984900, M2: 0.148736
Speed: 0.107786, angle1: 0.033048, angle2: 0.302967, v1: 1.278080, v2: -1.135820, M1: 0.901040, M2: 0.074148
Speed: 0.111761, angle1: 0.045441, angle2: 0.293636, v1: 1.239324, v2: -0.933053, M1: 0.761287, M2: 0.262909
Speed: 0.116097, angle1: 0.056957, angle2: 0.288612, v1: 1.151516, v2: -0.502388, M1: 0.620529, M2: 0.304846
Speed: 0.117993, angle1: 0.068765, angle2: 0.279056, v1: 1.180881, v2: -0.955670, M1: 0.498783, M2: 0.053892
Speed: 0.119211, angle1: 0.081089, angle2: 0.263614, v1: 1.232355, v2: -1.544135, M1: 0.350261, M2: -0.022622
Speed: 0.121741, angle1: 0.092820, angle2: 0.249826, v1: 1.173077, v2: -1.378791, M1: 0.202175, M2: 0.138340
Speed: 0.124211, angle1: 0.103493, angle2: 0.239991, v1: 1.067317, v2: -0.983570, M1: 0.048839, M2: 0.173041
Speed: 0.124836, angle1: 0.114132, angle2: 0.226504, v1: 1.063882, v2: -1.348680, M1: -0.082878, M2: -0.049793
Speed: 0.124828, angle1: 0.117900, angle2: 0.207630, v1: 1.086079, v2: -1.887421, M1: -0.227117, M2: -0.131974
Speed: 0.125600, angle1: 0.117900, angle2: 0.189292, v1: 1.031083, v2: -1.833730, M1: -0.234951, M2: 0.009210
Speed: 0.126605, angle1: 0.117900, angle2: 0.173851, v1: 0.954273, v2: -1.544184, M1: -0.121208, M2: 0.083964
Speed: 0.126954, angle1: 0.117900, angle2: 0.157082, v1: 0.941284, v2: -1.676880, M1: -0.115011, M2: -0.025921
Speed: 0.127093, angle1: 0.117900, angle2: 0.136055, v1: 0.980422, v2: -2.102650, M1: -0.072324, M2: -0.100111
Speed: 0.127704, angle1: 0.117900, angle2: 0.114805, v1: 0.966196, v2: -2.124993, M1: -0.043845, M2: 0.004040
Speed: 0.128449, angle1: 0.117900, angle2: 0.096684, v1: 0.904735, v2: -1.812140, M1: -0.011162, M2: 0.094845
Speed: 0.128876, angle1: 0.117900, angle2: 0.078126, v1: 0.895946, v2: -1.855821, M1: -0.004886, M2: 0.005104
Speed: 0.129276, angle1: 0.117900, angle2: 0.055849, v1: 0.938656, v2: -2.227633, M1: 0.000000, M2: -0.080133
Speed: 0.129829, angle1: 0.117900, angle2: 0.033218, v1: 0.932790, v2: -2.263126, M1: -0.004843, M2: 0.002652
Speed: 0.130219, angle1: 0.117900, angle2: 0.013881, v1: 0.870812, v2: -1.933735, M1: -0.011217, M2: 0.095052
