Speed: 0.117408, angle1: 0.054372, angle2: 0.289867, v1: 1.170577, v2: -0.874099, M1: 0.682199, M2: 0.051170
Speed: 0.118640, angle1: 0.066839, angle2: 0.274155, v1: 1.246653, v2: -1.571196, M1: 0.553050, M2: -0.009574
Speed: 0.121970, angle1: 0.078562, angle2: 0.261697, v1: 1.172352, v2: -1.245787, M1: 0.389571, M2: 0.219162
Speed: 0.125211, angle1: 0.089136, angle2: 0.254247, v1: 1.057399, v2: -0.745051, M1: 0.252786, M2: 0.246291
Speed: 0.125933, angle1: 0.100014, angle2: 0.241183, v1: 1.087794, v2: -1.306358, M1: 0.128831, M2: -0.052801
Speed: 0.126254, angle1: 0.111304, angle2: 0.222086, v1: 1.129000, v2: -1.909676, M1: -0.009830, M2: -0.104248
Speed: 0.127679, angle1: 0.117900, angle2: 0.205684, v1: 1.039006, v2: -1.640274, M1: -0.167744, M2: 0.086732
Speed: 0.128811, angle1: 0.117900, angle2: 0.193341, v1: 0.924345, v2: -1.234279, M1: -0.231319, M2: 0.109753
Speed: 0.128633, angle1: 0.117900, angle2: 0.175905, v1: 0.954239, v2: -1.743585, M1: -0.168584, M2: -0.123011
Speed: 0.128624, angle1: 0.117900, angle2: 0.153447, v1: 0.998121, v2: -2.245835, M1: -0.116340, M2: -0.123889
Speed: 0.129486, angle1: 0.117900, angle2: 0.133691, v1: 0.935664, v2: -1.975547, M1: -0.076855, M2: 0.076649
Speed: 0.130242, angle1: 0.117900, angle2: 0.118308, v1: 0.849669, v2: -1.538278, M1: -0.043251, M2: 0.125539
Speed: 0.130373, angle1: 0.117900, angle2: 0.098978, v1: 0.889632, v2: -1.933013, M1: -0.019082, M2: -0.084603
Speed: 0.130684, angle1: 0.117900, angle2: 0.075017, v1: 0.946098, v2: -2.396143, M1: -0.004886, M2: -0.104844
Speed: 0.131306, angle1: 0.117900, angle2: 0.053313, v1: 0.901962, v2: -2.170357, M1: 0.000000, M2: 0.069990
Speed: 0.131664, angle1: 0.117900, angle2: 0.036353, v1: 0.817868, v2: -1.696063, M1: -0.004726, M2: 0.134306
Speed: 0.131947, angle1: 0.117900, angle2: 0.016300, v1: 0.849127, v2: -2.005239, M1: -0.018187, M2: -0.066794
Speed: 0.132425, angle1: 0.117900, angle2: -0.007951, v1: 0.898220, v2: -2.425164, M1: -0.043855, M2: -0.102593
Speed: 0.132650, angle1: 0.117900, angle2: -0.030033, v1: 0.849937, v2: -2.208120, M1: -0.077785, M2: 0.052467
Speed: 0.132358, angle1: 0.117900, angle2: -0.047363, v1: 0.757423, v2: -1.733037, M1: -0.118940, M2: 0.113037
Speed: 0.132449, angle1: 0.117900, angle2: -0.066780, v1: 0.762523, v2: -1.941707, M1: -0.173866, M2: -0.069202
Speed: 0.132808, angle1: 0.117900, angle2: -0.089977, v1: 0.790695, v2: -2.319683, M1: -0.235639, M2: -0.125401
Speed: 0.132429, angle1: 0.117900, angle2: -0.111172, v1: 0.726909, v2: -2.119509, M1: -0.306252, M2: 0.008899
Speed: 0.131305, angle1: 0.117900, angle2: -0.127614, v1: 0.615120, v2: -1.644161, M1: -0.372883, M2: 0.069232
Speed: 0.130875, angle1: 0.117900, angle2: -0.145105, v1: 0.582502, v2: -1.749183, M1: -0.472855, M2: -0.095231
Speed: 0.130942, angle1: 0.117900, angle2: -0.166136, v1: 0.583498, v2: -2.103112, M1: -0.544886, M2: -0.173171
Speed: 0.129759, angle1: 0.117900, angle2: -0.184950, v1: 0.486585, v2: -1.881328, M1: -0.671047, M2: -0.045763
Speed: 0.127783, angle1: 0.117900, angle2: -0.199320, v1: 0.349123, v2: -1.437039, M1: -0.745620, M2: 0.000549
Speed: 0.126733, angle1: 0.117900, angle2: -0.214131, v1: 0.275196, v2: -1.481122, M1: -0.865910, M2: -0.144576
Speed: 0.126291, angle1: 0.117900, angle2: -0.231735, v1: 0.231489, v2: -1.760391, M1: -0.932221, M2: -0.216747
Speed: 0.124201, angle1: 0.117900, angle2: -0.246488, v1: 0.086755, v2: -1.475307, M1: -1.126852, M2: -0.102460
Speed: 0.121615, angle1: 0.117055, angle2: -0.257340, v1: -0.084540, v2: -1.085154, M1: -1.277974, M2: -0.101079
Speed: 0.120373, angle1: 0.115102, angle2: -0.268747, v1: -0.195267, v2: -1.140755, M1: -1.403960, M2: -0.241841
Speed: 0.119767, angle1: 0.112228, angle2: -0.281694, v1: -0.287433, v2: -1.294672, M1: -1.474538, M2: -0.289949
Speed: 0.118339, angle1: 0.107915, angle2: -0.292263, v1: -0.431237, v2: -1.056904, M1: -1.542737, M2: -0.212802
Speed: 0.116905, angle1: 0.102034, angle2: -0.299396, v1: -0.588114, v2: -0.713259, M1: -1.626054, M2: -0.208866
Speed: 0.117009, angle1: 0.095114, angle2: -0.306273, v1: -0.692005, v2: -0.687746, M1: -1.678779, M2: -0.311895
Speed: 0.118569, angle1: 0.087712, angle2: -0.314868, v1: -0.740172, v2: -0.859465, M1: -1.563123, M2: -0.364478
Speed: 0.118834, angle1: 0.079056, angle2: -0.319770, v1: -0.865623, v2: -0.490212, M1: -1.686496, M2: -0.257158
Speed: 0.120200, angle1: 0.069536, angle2: -0.322813, v1: -0.952057, v2: -0.304336, M1: -1.618428, M2: -0.301369
Speed: 0.122595, angle1: 0.059466, angle2: -0.325638, v1: -1.006951, v2: -0.282424, M1: -1.615709, M2: -0.352528
Speed: 0.126223, angle1: 0.049585, angle2: -0.330049, v1: -0.988095, v2: -0.441111, M1: -1.208178, M2: -0.350573
Speed: 0.127515, angle1: 0.038623, angle2: -0.328893, v1: -1.096210, v2: 0.115549, M1: -1.454646, M2: -0.199214
Speed: 0.130069, angle1: 0.027058, angle2: -0.325743, v1: -1.156459, v2: 0.315049, M1: -1.425950, M2: -0.280797
Speed: 0.134368, angle1: 0.015703, angle2: -0.325206, v1: -1.135551, v2: 0.053646, M1: -1.302437, M2: -0.387279
