Speed: 0.057498, angle1: -0.037090, angle2: 0.304949, v1: 1.074519, v2: -0.730390, M1: 1.110095, M2: 0.179589
Speed: 0.059623, angle1: -0.026217, angle2: 0.296498, v1: 1.087375, v2: -0.845090, M1: 1.063902, M2: 0.168767
Speed: 0.061761, angle1: -0.015224, angle2: 0.286815, v1: 1.099219, v2: -0.968365, M1: 1.013689, M2: 0.154456
Speed: 0.063934, angle1: -0.004143, angle2: 0.275944, v1: 1.108186, v2: -1.087084, M1: 0.959325, M2: 0.142665
Speed: 0.066154, angle1: 0.006984, angle2: 0.264033, v1: 1.112694, v2: -1.191118, M1: 0.900880, M2: 0.133073
Speed: 0.068374, angle1: 0.018127, angle2: 0.251121, v1: 1.114222, v2: -1.291118, M1: 0.838591, M2: 0.120523
Speed: 0.070558, angle1: 0.029266, angle2: 0.237170, v1: 1.113980, v2: -1.395114, M1: 0.772565, M2: 0.105396
Speed: 0.072711, angle1: 0.040371, angle2: 0.222241, v1: 1.110476, v2: -1.492918, M1: 0.702799, M2: 0.092298
Speed: 0.074830, angle1: 0.051396, angle2: 0.206473, v1: 1.102478, v2: -1.576766, M1: 0.629454, M2: 0.080938
Speed: 0.076876, angle1: 0.062307, angle2: 0.189923, v1: 1.091151, v2: -1.655045, M1: 0.552832, M2: 0.067328
Speed: 0.078820, angle1: 0.073081, angle2: 0.172584, v1: 1.077398, v2: -1.733920, M1: 0.473132, M2: 0.051849
Speed: 0.080656, angle1: 0.083681, angle2: 0.154531, v1: 1.059966, v2: -1.805235, M1: 0.390481, M2: 0.038127
Speed: 0.082370, angle1: 0.094060, angle2: 0.135901, v1: 1.037859, v2: -1.863013, M1: 0.305149, M2: 0.025855
Speed: 0.083930, angle1: 0.104180, angle2: 0.116760, v1: 1.012009, v2: -1.914168, M1: 0.217520, M2: 0.011877
Speed: 0.085315, angle1: 0.114010, angle2: 0.097124, v1: 0.983066, v2: -1.963553, M1: 0.127906, M2: -0.003387
Speed: 0.086513, angle1: 0.123509, angle2: 0.077080, v1: 0.949902, v2: -2.004452, M1: 0.036569, M2: -0.016985
