Speed: 0.082883, angle1: 0.110014, angle2: -0.229773, v1: -0.209646, v2: -1.517959, M1: -1.161537, M2: -0.190290
Speed: 0.081563, angle1: 0.108245, angle2: -0.244096, v1: -0.294858, v2: -1.432248, M1: -1.201831, M2: -0.204782
Speed: 0.080473, angle1: 0.105997, angle2: -0.257481, v1: -0.374655, v2: -1.338572, M1: -1.236098, M2: -0.215981
Speed: 0.079629, angle1: 0.103304, angle2: -0.269828, v1: -0.448893, v2: -1.234658, M1: -1.264626, M2: -0.225000
Speed: 0.079067, angle1: 0.100206, angle2: -0.281121, v1: -0.516295, v2: -1.129347, M1: -1.287712, M2: -0.234279
Speed: 0.078793, angle1: 0.096744, angle2: -0.291358, v1: -0.577015, v2: -1.023642, M1: -1.305770, M2: -0.242045
Speed: 0.078775, angle1: 0.092949, angle2: -0.300464, v1: -0.632545, v2: -0.910630, M1: -1.319194, M2: -0.246235
Speed: 0.078992, angle1: 0.088847, angle2: -0.308371, v1: -0.683591, v2: -0.790646, M1: -1.328223, M2: -0.248467
Speed: 0.079447, angle1: 0.084468, angle2: -0.315070, v1: -0.729804, v2: -0.669946, M1: -1.333018, M2: -0.250420
Speed: 0.080120, angle1: 0.079838, angle2: -0.320557, v1: -0.771796, v2: -0.548655, M1: -1.333776, M2: -0.250886
Speed: 0.080978, angle1: 0.074973, angle2: -0.324787, v1: -0.810693, v2: -0.423082, M1: -1.330626, M2: -0.248834
Speed: 0.081999, angle1: 0.069893, angle2: -0.327722, v1: -0.846814, v2: -0.293455, M1: -1.323587, M2: -0.245332
Speed: 0.083179, angle1: 0.064612, angle2: -0.329363, v1: -0.880040, v2: -0.164061, M1: -1.312643, M2: -0.241587
Speed: 0.084506, angle1: 0.059150, angle2: -0.329716, v1: -0.910455, v2: -0.035374, M1: -1.297794, M2: -0.236916
Speed: 0.085956, angle1: 0.053519, angle2: -0.328777, v1: -0.938469, v2: 0.093886, M1: -1.279031, M2: -0.230662
Speed: 0.087509, angle1: 0.047732, angle2: -0.326522, v1: -0.964476, v2: 0.225520, M1: -1.256310, M2: -0.223066
Speed: 0.089166, angle1: 0.041805, angle2: -0.322971, v1: -0.987894, v2: 0.355136, M1: -1.229550, M2: -0.215529
Speed: 0.090916, angle1: 0.035752, angle2: -0.318160, v1: -1.008688, v2: 0.481130, M1: -1.198736, M2: -0.207519
